id,name,manufacturer,price,quantity,description,certifications,image1
11,Patch Bamboo Bandages,Nutricare,450,25 bandages,"Made from 100% organic bamboo fiber, these bandages are biodegradable and free from plastics and latex. They are designed to decompose naturally in soil.","B Corp, FSC Certified, Vegan Society",https://www.vitalitymedical.com/media/catalog/product/cache/5a44b864f5b938cc2756756850957102/n/u/nutricare-patch-bamboo-bandages.png
12,Wegreeco Bamboo Bandages,Wegreeco,500,24 bandages,"Crafted from sustainable bamboo, these bandages are hypoallergenic and compostable. They come in recyclable packaging, reducing environmental impact.","FSC Certified, ISO 14001",https://m.media-amazon.com/images/I/71qQi9NzowL.jpg
13,TruEco Bamboo Bandages,TruEco,480,20 bandages,These bandages are made from organic bamboo and are free from harmful chemicals. They are designed to be compostable and come in eco-friendly packaging.,"USDA Certified Biobased Product, FSC Certified",https://m.media-amazon.com/images/I/61c0hCr17zL.jpg
21,Himalaya PureHands Hand Sanitizer,Himalaya Wellness,90,100 ml,"Alcohol-based sanitizer with herbal extracts like lime and neem, known for their antimicrobial properties. Free from triclosan and parabens.","ISO 9001:2015, GMP Certified",https://www.zevikahealth.com/cdn/shop/files/PureHands_Hand_Sanitizer_500ml.jpg?v=1765785339&width=1946
22,Dettol Liquid Antiseptic,Reckitt Benckiser,180,500 ml,"Trusted antiseptic liquid for first aid, personal hygiene, and household cleaning. Contains chloroxylenol, effective against bacteria and viruses.","ISO 14001:2015, WHO-GMP",https://cdn11.bigcommerce.com/s-u9e1b0/images/stencil/1280x1280/products/3424/4055/Dettol_500ml__08502.1651686317.jpg?c=2
23,Savlon Antiseptic Liquid,ITC Limited,160,500 ml,"Multipurpose antiseptic liquid with cetrimide and chlorhexidine gluconate, suitable for wound cleaning and disinfection.","ISO 9001:2015, GMP Certified",https://www.astobag.com/wp-content/uploads/2024/11/savlon-57.png
31,EcoTemp Digital Thermometer,Dr. Trust,750,1 unit,"The EcoTemp Digital Thermometer is mercury-free, uses a solar-powered battery, and comes in recyclable packaging. It provides accurate readings in seconds.","ISO 13485, CE Marking",https://www.medistorebd.com/wp-content/uploads/2016/11/Eco_Temp_Smart.jpg
32,GreenLife Glass Thermometer,GreenLife Medical,600,1 unit,"This glass thermometer is mercury-free, using a non-toxic liquid alloy. It is housed in biodegradable packaging, ensuring minimal environmental impact.","RoHS, ISO 14001",https://i5.walmartimages.com/asr/24c91cb7-f495-4034-bd09-028e93600537.86c750fa24747b3e1071043d895e5a6c.jpeg?odnHeight=328&odnWidth=328&odnBg=FFFFFF
33,TerraTherm Infrared Thermometer,TerraHealth,1200,1 unit,"The TerraTherm Infrared Thermometer is energy-efficient, with a long-lasting rechargeable battery and recyclable materials, reducing electronic waste.","Energy Star, CE Marking",https://cdn11.bigcommerce.com/s-xfu1s3ki5p/images/stencil/900x900/products/21212/16536/56339__52004.1687197031.jpg
41,Bamboo Gauze Pads,Bamboosa Care,350,Pack of 50,"Made from 100% bamboo fibers, these gauze pads are biodegradable and compostable, offering a sustainable alternative to traditional cotton gauze.","OEKO-TEX Standard 100, FSC Certified",https://www.medline.com/media/catalog/sku/BAM/D1200013664156_150520250957.jpg
42,Organic Cotton Gauze,EcoMed Supplies,400,Pack of 100,"Crafted from GOTS certified organic cotton, these gauze pads are free from harmful chemicals and pesticides, ensuring safety and sustainability.","GOTS, Fair Trade Certified",https://cdn4.volusion.store/swzkr-vtmrx/v/vspfiles/photos/4722-1.jpg?v-cache=1524187948
43,Hemp Gauze Rolls,Green Health Essentials,450,10 rolls,"These gauze rolls are made from hemp, a renewable resource that requires less water and pesticides, making them an eco-friendly choice.","USDA Organic, OEKO-TEX Standard 100",https://m.media-amazon.com/images/I/81zEqgmPdzL.jpg
