id,name,manufacturer,price,quantity,description,certifications,image1
11,Bio-D All-Purpose Sanitiser,Bio-D,450,500 ml,"Made from plant-based ingredients, this cleaner is biodegradable and free from synthetic chemicals. Suitable for various surfaces, ensuring a safe and clean environment.","Vegan Society, Cruelty-Free International",https://machineandhygiene.com/wp-content/uploads/2025/02/BIO-ALL-PURP-SANTI.jpg
12,Seventh Generation All-Purpose Cleaner,Seventh Generation,600,680 ml,"Formulated with plant-derived ingredients, this cleaner effectively removes grease and grime. It is non-toxic and safe for use around pets and children.","USDA Certified Biobased Product, Leaping Bunny",https://www.seventhgeneration.com/sites/default/files/styles/325x325_no_focal_point/public/2025-01/732913451630_125_All_Purpose_Cleaner_23floz_Fresh_Lemon_Chamomile_PDP_Front.png?itok=48obD2vZ
13,Rustic Art Bio Liquid Laundry and All-Purpose Cleaner,Rustic Art,290,500 ml,"This multi-purpose cleaner is made from natural oils and is biodegradable. It is gentle on the skin and effective on various surfaces, promoting a sustainable lifestyle.","Ecocert, Vegan Society",http://www.rusticart.in/cdn/shop/files/liquid_laundry_300ml-1_1024x.jpg?v=1774079977
21,Bio-D Glass and Mirror Cleaner,Bio-D,350,500 ml,"Made from plant-based ingredients, this cleaner is biodegradable and free from harsh chemicals, ensuring a streak-free shine on glass surfaces.","Cruelty-Free International, Vegan Society",https://www.ferwer.com/images/bio-d-cistic-na-sklo-a-zrcadla-napln-500-ml-1-m.webp
22,Seventh Generation Glass Cleaner,Seventh Generation,400,500 ml,"Formulated with plant-derived ingredients, this cleaner effectively removes smudges and fingerprints without leaving residues. Packaged in a recycled plastic bottle.","USDA Certified Biobased Product, Leaping Bunny",https://www.seventhgeneration.com/sites/default/files/2026-04/44712-6_SVG_23oz_Sparkling_Seaside_glass_cleaner_R1_flat_front-3000x3000-442f6099-8f50-47f8-a1cc-4aea6d05e9db.jpg
23,Ecover Window & Glass Cleaner,Ecover,450,500 ml,"This cleaner uses renewable plant-based ingredients and is packaged in a 100% recycled plastic bottle, ensuring minimal environmental impact.","Leaping Bunny, EU Ecolabel",https://www.ecoverdirect.com/shop/images/products/EWINDOW_large@2x.jpg?t=5703684660
31,Herbal Strategi Floor Cleaner,Herbal Strategi,180,500 ml,"Made from plant-based ingredients like lemongrass and cedarwood oil, this cleaner is biodegradable and non-toxic, ensuring safety for both humans and pets.","ISO 9001:2015, GMP Certified",https://herbalstrategi.com/cdn/shop/files/floorpackof22ltrs.jpg?v=1774093917&width=1920
32,Bio-D Floor Cleaner,Bio-D,350,750 ml,"Composed of natural ingredients, this cleaner is free from synthetic chemicals and is biodegradable, reducing environmental impact during disposal.","Cruelty-Free International, Vegan Society",https://www.essential-trading.coop/images/product/l/C054P.webp?t=1772430082
33,Rustic Art Floor Cleaner,Rustic Art,290,500 ml,"This cleaner uses organic oils and natural extracts, ensuring a non-toxic and biodegradable solution for floor cleaning, safe for the environment.","USDA Organic, India Organic",http://www.rusticart.in/cdn/shop/files/floor_cleanaer_1_1024x.png?v=1774177848
41,Herbal Strategi Bathroom Cleaner,Herbal Strategi,180,500 ml,"Made from plant-based ingredients like lemongrass and cedarwood oil, this cleaner is biodegradable and non-toxic, ensuring safe use and minimal environmental impact.","ISO 9001:2015, GMP Certified",https://naturessoulshop.com/cdn/shop/files/BATHROOM-CLEANER-500mlBack.webp?v=1743193602&width=1500
42,Bio-D Bathroom Cleaner,Bio-D,350,750 ml,"This cleaner is made from naturally derived ingredients, free from phosphates and synthetic chemicals, and is packaged in recyclable materials.","Vegan Society, Cruelty-Free International",https://www.ferwer.com/images/cistic-na-koupelny-s-vuni-cedru-a-borovice-1-l.webp
43,Rustic Art Natural Bathroom Cleaner,Rustic Art,290,500 ml,"Composed of organic and natural ingredients like soapnut and lemon extracts, this cleaner is biodegradable and safe for septic tanks.","USDA Organic, India Organic",https://cdn11.bigcommerce.com/s-gnuypjm22u/images/stencil/1280x1280/products/37907/150211/71gnSK_Ux0L._SL1080___31218.1752571659.jpg?c=1?imbypass=on
51,Safix Coconut Coir Scrub Pad,Safix,150,Pack of 4,"Made from natural coconut coir, this scrub pad is biodegradable and compostable. It effectively cleans without scratching surfaces and is free from harmful chemicals.",USDA Certified Biobased Product,https://m.media-amazon.com/images/I/91ndv6UlxJL.jpg
