id,name,manufacturer,price,quantity,description,certifications,image1
11,Forest Essentials Delicate Facial Cleanser Kashmiri Saffron & Neem,Forest Essentials,1250,200 ml,"This face wash uses natural ingredients like saffron and neem, known for their cleansing and antibacterial properties. It is free from harmful chemicals.","ISO 14001, Cruelty-Free International",https://m.media-amazon.com/images/I/5162QyXlGgL.jpg
12,Biotique Bio Honey Gel Refreshing Foaming Face Wash,Biotique,179,150 ml,"Made with natural honey and extracts of the Arjun tree, this face wash is designed to cleanse and brighten skin without synthetic chemicals.","USDA Organic, PETA Cruelty-Free",https://m.media-amazon.com/images/I/61pRkRs9OQL.jpg
13,Kama Ayurveda Rose Jasmine Face Cleanser,Kama Ayurveda,795,100 ml,"This gentle face cleanser is enriched with pure essential oils of rose and jasmine, providing a soothing and refreshing experience.","Ecocert, Leaping Bunny Certified",https://m.media-amazon.com/images/I/51hk9URGQCL.jpg
21,Forest Essentials Light Hydrating Facial Gel Pure Aloe Vera,Forest Essentials,"1,250",50g,"This moisturizer uses pure aloe vera gel, known for its hydrating properties. It is packaged in recyclable materials and uses sustainably sourced ingredients.","ISO 14001, Cruelty-Free International","https://m.media-amazon.com/images/I/61ipBeIWMtL._AC_UF1000,1000_QL80_.jpg"
22,Kama Ayurveda Eladi Hydrating Ayurvedic Face Cream,Kama Ayurveda,"1,450",50g,"Made with natural ingredients like coconut milk and sesame oil, this cream is packaged in recyclable glass jars and supports traditional Ayurvedic practices.","Ecocert, PETA Cruelty-Free","https://m.media-amazon.com/images/I/410G3cZvp9L._AC_UF1000,1000_QL80_.jpg"
23,Juicy Chemistry Organic Aloe Vera & Rosehip Skin Soothing Moisturizer,Juicy Chemistry,900,50ml,"This moisturizer is crafted with organic aloe vera and rosehip oil, packaged in eco-friendly materials, and supports fair trade practices.","COSMOS Organic, Cruelty-Free International","https://m.media-amazon.com/images/I/61UY5XnOr1L._AC_UF1000,1000_QL80_.jpg"
31,Mamaearth Ultra Light Indian Sunscreen SPF 50,Mamaearth,499,80 ml,"Made with natural ingredients like turmeric and carrot seed oil, this sunscreen offers broad-spectrum protection without harmful chemicals.",Made Safe Certified,https://i.ebayimg.com/images/g/4T4AAOSw~7JnpNKu/s-l400.png
32,Lotus Herbals Safe Sun UV Screen Matte Gel SPF 50,Lotus Herbals,440,100 g,"This sunscreen gel is formulated with natural extracts and provides a matte finish, protecting against UVA and UVB rays.",ISO 9001:2015 Certified,https://i.ebayimg.com/images/g/2XcAAOSwdxphUrql/s-l400.jpg
33,Biotique Bio Sandalwood 50+ SPF UVA/UVB Sunscreen,Biotique,350,120 ml,"Enriched with sandalwood and saffron, this sunscreen offers long-lasting protection and is free from harmful chemicals.",ECOCERT Certified Organic Ingredients,https://cdn.shopify.com/s/files/1/0652/3787/6974/products/Sandalwood_50spf_50-ml_sunscreen_TUBES.jpg?v=1670858562
41,Organic Harvest Lip Balm,Organic Harvest,199,10g,"Made with organic beeswax and shea butter, this lip balm nourishes and protects lips. It is free from parabens, mineral oil, and animal ingredients.","ECOCERT, PETA Certified",https://i.ebayimg.com/images/g/llcAAOSwTCBgbdcn/s-l1200.jpg
